Month		Payment		Unpaid payment		

1		96.66		5719.84		

2		105.00		5711.51		

3		113.33		5703.18		

4		121.66		5694.84		

5		218.33		5598.18		

6		314.99		5501.52		

7		411.66		5404.85		

8		508.32		5308.19		

9		604.98		5211.52		

10		701.65		5114.86		

11		798.31		5018.20		

12		894.98		4921.53		

13		991.64		4824.87		

14		1088.30		4728.20		

15		1184.97		4631.54		

16		1281.63		4534.88		

17		1378.30		4438.21		

18		1474.96		4341.55		

19		1571.62		4244.88		

20		1668.29		4148.22		

21		1764.95		4051.55		

22		1861.62		3954.89		

23		1958.28		3858.23		

24		2054.94		3761.56		

25		2151.61		3664.90		

26		2248.27		3568.23		

27		2344.94		3471.57		

28		2441.60		3374.91		

29		2538.26		3278.24		

30		2634.93		3181.58		

31		2731.59		3084.91		

32		2828.26		2988.25		

33		2924.92		2891.59		

34		3021.58		2794.92		

35		3118.25		2698.26		

36		3214.91		2601.59		

37		3311.58		2504.93		

38		3408.24		2408.27		

39		3504.90		2311.60		

40		3601.57		2214.94		

41		3698.23		2118.27		

42		3794.90		2021.61		

43		3891.56		1924.95		

44		3988.22		1828.28		

45		4084.89		1731.62		

46		4181.55		1634.95		

47		4278.22		1538.29		

48		4374.88		1441.63		

49		4471.54		1344.96		

50		4568.21		1248.30		

51		4664.87		1151.63		

52		4761.54		1054.97		

53		4858.20		958.31		

54		4954.86		861.64		

55		5051.53		764.98		

56		5148.19		668.31		

57		5244.86		571.65		

58		5341.52		474.99		

59		5438.18		378.32		

60		5534.85		281.66		

61		5631.51		184.99		

62		5728.18		88.33		

63		5816.51		0.00		

