Month		Payment		Unpaid payment		

1		108.33		5654.17		

2		116.67		5645.83		

3		125.00		5637.50		

4		133.33		5629.17		

5		244.94		5517.56		

6		356.54		5405.96		

7		467.59		5294.91		

8		578.08		5184.42		

9		688.02		5074.48		

10		797.41		4965.09		

11		906.25		4856.25		

12		1014.55		4747.95		

13		1122.30		4640.20		

14		1229.52		4532.98		

15		1336.20		4426.30		

16		1442.35		4320.15		

17		1547.97		4214.53		

18		1653.05		4109.45		

19		1757.62		4004.88		

20		1861.66		3900.84		

21		1965.18		3797.32		

22		2068.18		3694.32		

23		2170.67		3591.83		

24		2272.65		3489.85		

25		2374.11		3388.39		

26		2475.07		3287.43		

27		2575.52		3186.98		

28		2675.47		3087.03		

29		2774.93		2987.57		

30		2873.88		2888.62		

31		2972.34		2790.16		

32		3070.31		2692.19		

33		3167.78		2594.72		

34		3264.77		2497.73		

35		3361.28		2401.22		

36		3457.30		2305.20		

37		3552.84		2209.66		

38		3647.91		2114.59		

39		3742.50		2020.00		

40		3836.61		1925.89		

41		3930.26		1832.24		

42		4023.44		1739.06		

43		4116.15		1646.35		

44		4208.40		1554.10		

45		4300.18		1462.32		

46		4391.51		1370.99		

47		4482.38		1280.12		

48		4572.80		1189.70		

49		4662.76		1099.74		

50		4752.28		1010.22		

51		4841.35		921.15		

52		4929.97		832.53		

53		5018.15		744.35		

54		5105.89		656.61		

55		5193.19		569.31		

56		5280.05		482.45		

57		5366.48		396.02		

58		5452.47		310.03		

59		5538.04		224.46		

60		5623.18		139.32		

61		5707.89		54.61		

62		5762.50		0.00		

